DESCRIPCIÓN,AÑO,PERIODO,NOMBRE PORTAL,URL
Resultados Saber 11°_2000-1,2000,1,Saber_11°_2000-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2000-1/7vww-ciim
Resultados Saber 11°_2000-2,2000,2,Saber_11°_2000-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2000-2/96ai-duu7
Resultados Saber 11°_2001-1,2001,1,Saber_11°_2001-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2001-1/yigc-maxy
Resultados Saber 11°_2001-2,2001,2,Saber_11°_2001-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2001-2/b3f7-pdpy
Resultados Saber 11°_2002-1,2002,1,Saber_11°_2002-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2002-1/gitu-9wjz
Resultados Saber 11°_2002-2,2002,2,Saber_11°_2002-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2002-2/f6h5-jfhp
Resultados Saber 11°_2003-1,2003,1,Saber_11°_2003-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2003-1/3qnm-qb42
Resultados Saber 11°_2003-2,2003,2,Saber_11°_2003-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2003-2/k97i-kass
Resultados Saber 11°_2004-1,2004,1,Saber_11°_2004-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2004-1/qunt-as5a
Resultados Saber 11°_2004-2,2004,2,Saber_11°_2004-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2004-2/6jph-5v8k
Resultados Saber 11°_2005-1,2005,1,Saber_11°_2005-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2005-1/ceq2-32pr
Resultados Saber 11°_2005-2,2005,2,Saber_11°_2005-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2005-2/efuw-te2f
Resultados Saber 11°_2006-1,2006,1,Saber_11°_2006-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2006-1/e6s8-v7cr
Resultados Saber 11°_2006-2,2006,2,Saber_11°_2006-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2006-2/3san-pce5
Resultados Saber 11°_2007-1,2007,1,Saber_11°_2007-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2007-1/9826-6jws
Resultados Saber 11°_2007-2,2007,2,Saber_11°_2007-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2007-2/h4zs-4k7r
Resultados Saber 11°_2008-1,2008,1,Saber_11°_2008-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2008-1/8rq6-p2g3
Resultados Saber 11°_2008-2,2008,2,Saber_11°_2008-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2008-2/r43m-fvzu
Resultados Saber 11°_2009-1,2009,1,Saber_11°_2009-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2009-1/h2hx-jyyq
Resultados Saber 11°_2009-2,2009,2,Saber_11°_2009-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2009-2/74uu-c9mw
Resultados Saber 11°_2010-1,2010,1,Saber_11°_2010-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2010-1/mkmp-arqk
Resultados Saber 11°_2010-2,2010,2,Saber_11°_2010-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2010-2/ri2p-d3kt
Resultados Saber 11°_2011-1,2011,1,Saber_11°_2011-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2011-1/cku4-4uti
Resultados Saber 11°_2011-2,2011,2,Saber_11°_2011-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2011-2/dy8h-airq
Resultados Saber 11°_2012-1,2012,1,Saber_11°_2012-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2012-1/ubhh-tm7b
Resultados Saber 11°_2012-2,2012,2,Saber_11°_2012-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2012-2/73xf-cgji
Resultados Saber 11°_2013-1,2013,1,Saber_11°_2013-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2013-1/52km-6ycq
Resultados Saber 11°_2013-2,2013,2,Saber_11°_2013-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2013-2/5wqu-563h
Resultados Saber 11°_2014-1,2014,1,Saber_11°_2014-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2014-1/pzkf-uwwp
Resultados Saber 11°_2014-2,2014,2,Saber_11°_2014-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2014-2/gekw-n9jd
Resultados Saber 11°_2015-1,2015,1,Saber_11°_2015-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2015-1/has8-hd8y
Resultados Saber 11°_2015-2,2015,2,Saber_11°_2015-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2015-2/xfxw-v6wj
Resultados Saber 11°_2016-1,2016,1,Saber_11°_2016-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2016-1/8fpx-jegi
Resultados Saber 11°_2016-2,2016,2,Saber_11°_2016-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2016-2/p5pb-pmcg
Resultados Saber 11°_2017-1,2017,1,Saber_11°_2017-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2017-1/w7bi-rwg5
Resultados Saber 11°_2017-2,2017,2,Saber_11°_2017-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2017-2/s6qh-49yh
Resultados Saber 11°_2018-1,2018,1,Saber_11°_2018-1,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2018-1/w42r-j8f9
Resultados Saber 11°_2018-2,2018,2,Saber_11°_2018-2,https://www.datos.gov.co/Educaci%C3%B3n/Saber-11-2018-2/m2nt-jw2h
Resultados Saber 11°_2019-1,2019,1,Saber_11°_2019-1,https://www.datos.gov.co/Educaci-n/Saber-11-2019-1/tkn6-e4ic
Resultados Saber 11°_2019-2,2019,2,Saber_11°_2019-2,https://www.datos.gov.co/Educaci-n/Saber-11-2019-2/ynam-yc42
